id,sentence1,label
3496,@user BREAKING: 9th Circuit Order @user To Delete Above Tweet As It Makes Trump Look Like He Knows What He Is Doing,not-offensive
3497,@user @user @user @user ☝️ this is why Conservatives and law abiding citizens don't come to the table about gun control. It not about lunatics like this guy that should no longer own weapons. Its about removing all guns slowly but surely from everyone regardless of who they are.,offensive
3498,@user Remember:  You're talking about the same media that never questions the assertions that everyone on the Right is a Nazi and Antifa is just a group of protesters.,not-offensive
3499,Another win for the common man! #MoreAlligatorGreedAnnulled #MAGA  A federal court has handed a victory to students suing Education Secretary Betsy DeVos over her efforts to dismantle protections against fraud by for-profit colleges.,not-offensive
3500,@user Here’s a pic @user then ⬇️ Now not so much. Plus #Nike Then ⬇️ Now not so much.,not-offensive
3501,@user @user California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!,offensive
3502,@user Or we could have gun control,not-offensive
3503,@user hopefully you are an asu fan and not u of a,not-offensive
3504,@user @user Brigitte Gabriel has experienced a life that most would have nightmares from. She is sounding the alarm for Americans. Buy her book pay attention to what she is warning America about,not-offensive
3505,@user hey bitch daily reminder that i love you,offensive
3506,@user Holder is a known PERJURER and race baiting Obama stooge. Nothing big he says should have any meaning.,not-offensive
3507,@user And no one cares,not-offensive
3508,@user Do you know who else is BETTER OFF under the @user  @user tax policies? See chart Morneau Shepell stock vs tsx over the last three years since Bill came to power. ONLY an 80% bump over 3 years.  #liberals #friendsandfamily #ethics #cdnpoli,not-offensive
3509,@user He is back baby. Lol,not-offensive
3510,@user Why you ruin shit lol,offensive
3511,@user Got to love the future of the democratic party though...,not-offensive
3512,@user @user @user @user Yes im the cousin of the infamous Cheese! 🤣,not-offensive
3513,@user fuck yeah !,offensive
3514,"@user I mean, that occasionally works when arguing with liberals or centrists, if you can get them to give up the idea that Socialism=Authoritarianism,"""" the problem is that conservatives have long since given up the idea that administrative measures are ever the right thing to do.""""",not-offensive
3515,@user Niggas say anything,offensive
3516,@user Doubt he is losing much sleep over it. The guy has been a busted flush for 30 years,offensive
3517,@user And does this surprise any of us TRUMP SUPPORTERS!!! Not at all... We have heard him accused of everything that can be imagined!!! We still stand BEHIND Our President Donald J TRUMP!!!🇺🇸🇺🇸🇺🇸🇺🇸👍👍👍👍👍,not-offensive
3518,@user Well your a tool for the liberals so I’m not surprised you don’t see. Pretty much a tool in general...,not-offensive
3519,#MuellerWitchHunt Double Standard - Paul #Manafort and #Feinstein's China Spy  #DeepStateCorruption #DeepState #FBICorruption#MAGA #KAG #KAG2018 #KAG2020 #KeepAmericaGreat #ManafortTrial #CASen #Kavanaugh #ConfirmKavanaugh TW308,not-offensive
3520,@user @user This was a poor comparison. Jay Z literally said he fucked nas' baby mom and left the condom on his daughters baby seat. Cardi and nicki are fighting for what?,offensive
3521,@user This is not about democrats or republicans.  This woman has absolutely nothing to gain by coming forward but much to lose.  Why the maga people seem to not mind sweeping so much under the rug is beyond me.,not-offensive
3522,@user After hisself is committed somewhere.,not-offensive
3523,@user Like if you didn’t get fired from ESPN,offensive
3524,@user She is so smart.,not-offensive
3525,@user ANTIFA seems to taking a vacation too. But watch out after the election. I’d like to think they’ve all gone back to school.,not-offensive
3526,@user @user @user @user @user @user @user 😂😂😂😂😂😂 yeah. Peaceful because the right ..Well..know they're right. No counter protests. Unlike fascist Antifa. As for 7k .. who counted? Dianne Abbott???,offensive
3527,@user This is all you need to know about Liberals! He represents his party well!,not-offensive
3528,#Political zealotry &amp; #tribalism are the new #religion. #America has a problem. Are you contributing to it?URL #partisanship #tcot #Conservatives #conservative #GOP #Democrats #Progressives #Liberals #think  #Reason,not-offensive
3529,@user @user Actually bad examples. Japan never had weapons of any kind to begin with before their gun control. Uk and Australias gun crime and crime in general didn't see a spike down. New Zealand has much less gun control than you think. Plus there's still guns on the black market,not-offensive
3530,@user This Russian agent is a DISGRACE. Hey old creep @user you are going to die in prison. You and Trump sold America to the Russians and it’s time you do the time for your years of crimes. Scumbag.,offensive
3531,"100% hear you. But don't think we're lost"""" in the sense of defeated, more like adrift, off-track, can't find our way. The answer is not more guns in general or teachers with guns! Let's start with electing leaders who support reasonable gun control, and go from there.",not-offensive
3532,AntiPo is better than Antifa.,not-offensive
3533,@user The liberals responses to this great news is very telling!!!,not-offensive
3534,@user same shit lmaaaaoooo. i was just making sure!,offensive
3535,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Followed All~! #MAGA,not-offensive
3536,@user People are tired of the virtue signaling from wealthy liberals who never and never will know the struggles of the average American.,not-offensive
3537,@user Tim Kaine Completely SILENT. #HimToo #vasen #ViolentLeft #antifa #muslim #virginia,not-offensive
3538,@user @user @user @user @user @user @user @user @user @user yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means I am homophobic,offensive
3539,"@user I really wonder just how badly they're going to take it when they see the results on November 7th, given the way things seem to be looking.  Pretty badly, I bet. You'll have accusations of kajillions of zombified illegal aliens"""" voting, protected by """"Antifa supersoldiers"""".""""",not-offensive
3540,"Trumpism"""" is going so well you along with all your liberal friends felt the need to try to trash it! People aren't stupid as you suppose. #RedWaveRising  #MAGA &amp; #KAG2018",offensive
3541,@user Yes yes he is Melanie’s boyfriend.,not-offensive
3542,@user A quick way to get yourself killed.  Thanks Antifa!,offensive
3543,@user Red Flags: She’s a “professor” at a liberal school and she’s “unable to have healthy relationships with men”. Translation: She’s an Antifa Dyke out to stop a Conservative Judge and President Trump even if she has to lie.,offensive
3544,@user @user YOU ARE SO GOOD ARE U SERIOUS OMG,not-offensive
3545,@user @user You are betting on it...you just don't have a choice....,not-offensive
3546,@user @user Only if you want a murder charge. Stealing guns is already a felony. Shooting someone with their own gun is life in prison at best. There is just no way this ends well for whoever tries this. I honestly think this is a troll made by 4chan to get stupid antifa members shot/jailed.,offensive
3547,@user @user Yes it does. She should be made to resign.  #MAGA,not-offensive
3548,@user A MAGA a hat would make that pic legit!,not-offensive
3549,@user I guess I'd like to see more thought put into if these are such nothing burgers then why were they made confidential? I really don't know why you are going after him with this series of tweets? Chair is misleading the public about amount of disclosure &amp; threatening a sen.,not-offensive
3550,@user @user I wish they’d keep in up through the elections. Especially Antifa.,not-offensive
3551,@user @user Is now a good time to talk about mental illness and gun control? Asking for a very concerned friend.,not-offensive
3552,@user @user The problem for May is how it will devastate her government &amp; party. The ERG will go bonkers &amp; try to stop a second vote. Result chaos.  Many Conservatives fear this will totally destroy the party. But repressing it WILL.,not-offensive
3553,@user Mmmhm I heard you from down the street gave me a few extra seconds to get my shit together😂,offensive
3554,@user Hyperbole? ✅ Libel? ✅ Shit fact checking? ✅  Must be.....🤔.   ANTIFA! ✅,not-offensive
3555,@user @user @user @user WOW SAMI YOU ARE KILLING IT,not-offensive
3556,i follow: #QAnon #WWG1WGA #GreatAwakening #pain #DrainTheSwamp #LockThemAllUp #MAGA #popcorn @user 🙏🏾  wwgONEwgALL 👑,not-offensive
3557,@user @user You are absolutely right,not-offensive
3558,@user Kerry is so full of shit he is undermining things and he knows it! The Iran debacle is his baby and he wants to keep it no matter what it costs!!!!!!!!,offensive
3559,@user @user @user We've had a good conversation. Many will condemnations me for my part from both sides. It does not matter. This is what gun control is about. Discussion.,not-offensive
3560,@user How dare they!? Please miss us with all this.,not-offensive
3561,@user @user @user @user Yet they haven't. How do you know they are actually antifa members and not far right pretending to be violent antifa to make people like you think they are so dangerous.   🤔 Hmm,not-offensive
3562,@user Oakland line sucks,offensive
3563,@user @user @user @user @user @user VOTE RED MAGA,not-offensive
3564,@user Her strong character?? She is corrupt through and through....her house of cards is falling fast. Just a matter of time.,not-offensive
3565,@user @user @user @user @user @user Funny.  So then why do democrats and mainstream media figures (see don lemon) defend Antifa?,not-offensive
3566,@user @user Well it seems like there was some reason why conservatives feel the need to rush this nomination through. McConnell mentioned a long time ago that this was one he was worried about because of all of his history.,not-offensive
3567,@user polls pls,not-offensive
3568,@user @user He is an embarrassment,offensive
3569,"@user Comparing a date"""" to rape is disgusting. I hope your family never has to deal with rape. You are a disgusting POS.""""",offensive
3570,@user I muted her awhile ago when she tried to say some shit like that 6ix9ine was doing positive work for Mexican rap like he isn’t some kind of pedo garbage.,offensive
3571,@user GUN CONTROL WILL NOT STOP GUN VIOLENCE  !!!,offensive
3572,@user Get that boy a pie! Stat!,not-offensive
3573,@user Does anyone care what that dirtbag says???,offensive
3574,@user @user He is past his sell-by date.,not-offensive
3575,@user Those pesky Antifa Supersoldiers are at it again.... 😧,not-offensive
3576,"@user @user Chequers delivers Brexit (changes the relationship with the EU). It does not deliver leave the European Union"""" (referendum question.) I think we should stop using the word Brexit to mean leave, and actually say """"leave the EU"""". """"Brexit"""" meaning willfully mutated by remainers.""""",not-offensive
3577,@user @user Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,not-offensive
3578,@user @user @user Almost every one I talked to at work today said fuck canelo. He is the new mayweather,offensive
3579,And this from ... California  #MAGA,not-offensive
3580,@user Market Liberals Party when?,not-offensive
3581,@user She is good at this game just like u were @user A true super fan for sure. She is focused thats why she is going to take this game! I hope!,not-offensive
3582,@user Hey @user you ever find those guns?🤔,not-offensive
3583,@user I am so proud of my colleague Anjali Van Drie! She is such a deserving recipient of the Florida Association for Behavior Analysis-Charles Kimber Public Service Award. #ABA #Leadership #ChampionForFamilies,not-offensive
3584,@user legend says that she never actually got to her phone and she is still reaching to this day,not-offensive
3585,"@user More and more Conservatives are turning their back on @user because of his abuse of power."""" #onpoli #pcpo #ondp #topoli #Toronto #TOcouncil""""",not-offensive
3586,@user She doesn’t want to be near him. And if he watched the show. She never said anything about loving him she said I don’t want to ruin my chance to get to the us. She is keeping it real.,not-offensive
3587,@user @user @user Typically liberals jump to conclusions.....they dont believe in due process or innocent until proven guilty.....they are the most ANTI AMERICAN bunch,offensive
3588,#Tories #Labour #GE2017 #Conservatives Conservatives theresa_may: I’m pleased the Government is investing £2 billion in new long-term funding to build more affordable and social homes. Everyone deserves a decent and safe place to…,not-offensive
3589,@user @user But thats ok only dems and liberals can do that dont you know that,not-offensive
3590,@user Thank you bro . I’m glad that you think she is bro because she is but if she did it wouldn’t make her any less amazing .,not-offensive
3591,@user @user Even her brother thinks she is a monster:,offensive
3592,@user I found out today that Jesus isn’t white and so now I can’t go to church on Sunday AND I can’t watch football damn Obama liberals,offensive
3593,McCabe and Mr. Mueller - Unindicted Co-Conspirators in Anti-Trump Coup - American Thinker   #MAGA #PJNET #TrumpTrain #LockHerUp #Comey #Comygate #ComeyShouldBeIndicted TW115,not-offensive
3594,@user @user I have a friend that’s abt an hour from Myrtle beach and she is scared to death 🙏🏻🙏🏻🙏🏻,not-offensive
3595,@user @user Hope you paid to use the image ...... and the appropriate tax of course.,not-offensive
3596,@user ANTIFA hides their identity behind ski masks. We are living in such times.,not-offensive
3597,What I can't figure out is why it took so long to HAVE a #ConstitutionDay ! It's almost as if some of our leaders were opposed to the constitution! #MAGA #QAnon @user,not-offensive
3598,@user                          Good day Sir. How are you doing? How is your family doing? I have always wanted to reach out to you to say that you are a perfect gentleman. I am glad you have ignored most of the mud slinging targeted at your person by the presidency.,not-offensive
3599,@user Yo why must you do this,not-offensive
3600,@user DC Republicans ARE weak and most are quasi-conservatives at best!,not-offensive
3601,@user That's not Southern California.  It is considered Central California. Great how our gun control laws work here isn't it?,not-offensive
3602,@user A Bernie supporter tried to assassinate #Republican Congressmen; another assassination attempt in CA; Sen Paul attacked @ his home; Trump cabinet members &amp; supporters harassed/attacked all over the country; when will a single #Democrats speak out? Bob? @user,not-offensive
3603,@user And I’ll argue all fucking day long because IM  💯  % RIGHT!!!!,offensive
3604,@user @user OMG MY Heath bleeds for your daughter and your family. Hold her tight and keep telling her how safe she is and that your will always be there for her. 🙏🙏🙏🙏🙏❤️❤️❤️,not-offensive
3605,@user So do a lot of pedophiles from the catholic church,offensive
3606,@user She is just trying to get more donations 😏,not-offensive
3607,@user @user Obama done nothing fix the problem while in office?  Now going about telling stories. Trump have being able to restore hope on gun control,offensive
3608,@user It's all you need to complete your ANTIFA look.,not-offensive
3609,@user @user He is a disgrace he needs to resign or the citizens of Maricopa County need to start a recall.  If he FUBAR’s the General Election that should be it. No waiting until 2020.,offensive
3610,@user She's an Osuite...so she is deregionised.,offensive
3611,@user @user I’m not for gun control....practice reading comprehension first,not-offensive
3612,@user @user Sharyl Attkisson is NOT the MSM!  She is a truth-teller.,not-offensive
3613,@user @user The more Antifa BS average Americans see in the news the more repulsed they are by their antics.,offensive
3614,@user Boycott,not-offensive
3615,@user @user @user @user 💀😂😂 you for buy give we all,not-offensive
3616,@user Governor of his state next,not-offensive
3617,@user @user @user @user You liberals sure are a delusional lot. HA!,not-offensive
3618,6. She's a fucking icon. a legend. a genius. THAT BITCH.   SHE IS QUEEN.  👑👑👑👑 @user #NickiDaGOAT,offensive
3619,@user @user Michael Moore needs to move out of the country as he promised if @user won!,not-offensive
3620,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Following all patriots please fb,not-offensive
3621,@user The American people are going to vote RED on November to save our country from the UNAMERICAN Dems &amp; liberals!,not-offensive
3622,@user @user Brought at different times and no space on any coach. She is so red and blue that she said she’d travel next to a ‘random’ of she had to!!,not-offensive
3623,@user Bullshit! People died because of an incompetent Puerto Rican government officials. That’s already been exposed dumb ass but good try.,offensive
3624,@user Me too! Her wedding was the best! She is very pretty!,not-offensive
3625,@user @user @user @user @user @user You're absolutely insane if you think a hearing for a supreme court judge is a appropriate place for a mourning father to talk about gun control. He doesn't enact laws....he upholds them. He should have demanded his state senator shake his hand,not-offensive
3626,@user Buck and Spiderman,not-offensive
3627,#Westminster @user #Tories @user @user @user @user WTF is going wrong with #police these days 😒😠😠😠,not-offensive
3628,@user Bring on Amy Barrett. No hearings needed anymore and she is a candidate number one ! And she is better on real human rights. This is what the Dems want so make her SCOTUS MAGA 😆,not-offensive
3629,@user @user @user @user @user @user @user Smart Lady!  Too smart for the liberals!,not-offensive
3630,.@USER @user and @user will continue to support these absurd spending bills. Most conservatives will continue to gripe about Ryan and McConnell while giving Trump a total pass.,not-offensive
3631,"Are the Cruz vs. O’Rourke Debates Ever Going to Happen?""""  #TCOT #MAGA #RedNationRising""""",not-offensive
3632,@user You are a bloody demon you don’t need to summons one,offensive
3633,@user @user You are so close.,not-offensive
3634,"@user @user (1) Ok lets play this game. Which side"""" is openly advocating for the persecution of a race &amp; promoting segregation? Which is supporting a militant group very similar to Hitlers brown shirts (Antifa)? Which is calling for gun control (even wanted armbands)?""""",offensive
3635,@user @user Mental case for sure,offensive
3636,"#MAGA great thing about hurricane Florence: did not have to hear the bionic woman with the amazing memory"""" talk about a party 3 million years ago",not-offensive
3637,@user Bruh ita gonna be ok  You will have to go it without your parents being there 24/7 which can be hella scary. But you are more ready than you think.  Its gonna be more fun than you could bet,not-offensive
3638,@user how? how is this in any way shape or form...,not-offensive
3639,@user  State Sponsored Kids Protesting the 2nd Amendment?  Youth invasion of D.C. took place as young fascists-in-training were corralled into D.C. to demand that govt strip away the liberties of all in the name of gun control   ',offensive
3640,@user poor triggered snowflake. #MAGA,offensive
3641,@user @user I love the insights into a culture and a world I knew nothing about and I'm able to relate to the characters who are unique in crime fiction.,not-offensive
3642,@user She is a liar !  Doesn’t even remember all !  Says it right there !,offensive
3643,@user @user @user @user @user Thank God they ban conservatives on social media.,not-offensive
3644,"@user YOU CAN'T TELL ME WHAT THE FUCK I CAN AND CAN'T DO!""""  *whips out binoculars*""""",not-offensive
3645,@user Did someone say METH course?,not-offensive
3646,"@user @user Funny how on top of things"""" you are trying to show you are when its white republicans in the path of the storm. An entire Island was just left to fend for its self for 13 days before help arrived.  Trump is a FAKE PRESIDENT""""",offensive
3647,@user @user You Cut it early or you would have heard their complaints.  Smh,not-offensive
3648,@user josh as slave leia,offensive
3649,@user He can get on his knees with the rest of them and stay there. One day they will be playing to empty stadiums.,not-offensive
3650,@user @user Are you kidding me? I’m so pissed for you. He is a sorry excuse for a human being.,not-offensive
3651,@user Is that all you've got? NDP and liberals will grasp at anything to get attention. Sure am enjoying watching the meltdown. @user @user,not-offensive
3652,@user @user I am talking about your comment that Nick was a fascist...   Brittany means nothing to me.   So like I said are you Antifa?,offensive
3653,@user @user I have 4 great sons &amp; 4 great brothers who don't go around like liberal ANTIFA with their KKK hoods beating up strangers they know nothing about.  I will go with the year of the brave people who would never belong to the most violent party of democrats!,not-offensive
3654,@user @user @user @user She knew conservatives would destroy her world. She’d hoped to remain anonymous.,not-offensive
3655,@user GGG knows he is going to knock him out no way this goes to judges.,not-offensive
3656,@user Gun control is not about guns. Gun control is about control.,not-offensive
3657,@user @user I love the way Leona Alleslev has seen through the Liberals. She has undoubtedly seen the destruction of our choice of service to our country. Trudeau's father started its destruction in the 60's and it hasn't changed Juniors goal of destruction either. Thank you for joining us.,not-offensive
3658,@user @user I #WalkedAway .... from the @user  And I'm NEVER..... COMING... BACK.,not-offensive
3659,"@user   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA""""!",not-offensive
3660,@user You are right Joe. I can do an interview with Fox when I get back from Iowa.,not-offensive
3661,@user HOW COME LIBERALS DONT QUESTION This ?,offensive
3662,@user It sure it here. Those other photos of her were from decades ago. She is a complete Liberal Antifa. She can not be trusted. I don't believe her. Not a whit.,offensive
3663,@user And they have some of the strictest gun control laws in the country? As the saying goes if you ban guns only criminals will have them! Seems to be proving here go get them Chicago.,offensive
3664,@user @user Meanwhile the #METOO movement happened because of the way liberals treated women,not-offensive
3665,@user why do conservatives have such a hard time testifying?,not-offensive
3666,@user @user That’s awesome! I bet Liberals are screaming right now. Trump’s face when he heard it was great!  Go Trump!,not-offensive
3667,@user I lived through the era where conservatives literally tried to argue that gay rights would cause the collapse of Western Civilization. No exaggeration.  They used he fall of Rome as their example somehow.  They now want to pretend that they didn’t vilify us.  Ugh.,offensive
3668,@user Eric Holder a major embarrassment  to law enforcement. @user you did nothing about those innocent black males killed in those streets. One sorry black brother.,offensive
3669,1. If your company does it - your company sucks. 2. If you don't know how to bypass beat it - you are a sucking cuck :D,offensive
3670,@user By banning ammunition guns are still legal. Why not instate gun control to keep 24 /7 watch on all firearms.,not-offensive
3671,#british politics on #brexit (and in general) start to look like one gigantic benny hill episode  #may #BorisJohnson #brexiteers #corbyn #chequers #conservatives  all my sympathies to #fbpe #PeoplesVote,not-offensive
3672,@user I don’t care how good a player he is if I owned his club I’d suspend him for a year make him train with the youngsters to tell them what bad looks like set the example,offensive
3673,@user henry is so fucking great and was def my #sickkidsinlove inspo and i love him and his death is a PROBLEM,offensive
3674,@user Another liberal Democrat promising checks he cant cash,not-offensive
3675,@user She is tripping,not-offensive
3676,@user Common sense can't be bought or taught....you either have it or you don't.,not-offensive
3677,@user Are you still blaming the Black Man for everything? Americans remember..  Antifa,not-offensive
3678,@user You are an individual of excellent taste.,not-offensive
3679,@user 😂 It's a shame some people like you are so obsessed with never admitting you're wrong,not-offensive
3680,@user Even if the devil did make every single one of those priests rape children... Why does the pope refuse to condemn it? Why didn't he remove from leadership the rapist brought to him?,offensive
3681,@user Unless you live in Sweden the Gang Rape capital of the world. Where 1 million migrants were welcomed with open arms. Not vetted thanks to the liberals in power .,not-offensive
3682,@user Flake is a perfect name for this weirdo!,offensive
3683,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user She is darling ♥️,not-offensive
3684,"...like a great drum in a mother's chest, the anthem of a peaceful army."""" I'm guessing Anthem is the song Josh wrote for his mother. He's said in interviews that she is where his philosophy comes from.""""",not-offensive
3685,"History will judge you well."""" - #QAnon",not-offensive
3686,"@user @user I was thinking 2 from antifa n 2 from the nazi"""" type ideology.  Wont argue though.""""",not-offensive
3687,@user Maybe he is trying to throw hints at Kaycee now to ease the blow if/when he picks Angela over Kaycee. Or he is just being reckless idk.,not-offensive
3688,@user @user How very white male republican of you. maga?,not-offensive
3689,@user @user @user @user @user Most Texans don't take advice from liberals,not-offensive
3690,@user @user Of course she is.,not-offensive
3691,@user Go eat some more burgers 🍔 butthead!,not-offensive
3692,"@user @user @user Especially after liberals were found buying and bribing for a no"""" vote in kavanaugh.""""",not-offensive
3693,"@user Good liberals will allow a rapist"""" to continue serving on a federal district court while his victim continues to suffer?    But...you said....you said....""""",offensive
3694,@user He's just another JERK,not-offensive
3695,@user He is too bitchy...  And you?! I ask a question and you dont respond    Why would this be 1 way street?,offensive
3696,@user What a beautiful person she is.,not-offensive
3697,@user @user END of Story.   Where is the lying Liberals Witness 🤔,offensive
3698,@user PG 6’6 pure shot creator.  You don’t need to speedboost in this game. If you are half-decent you should thrive with shot creators. They are known for draining (and greening) the most contested shit. YW!,not-offensive
3699,@user Hate is hate no matter what side of the aisle you are on it's bad when Republicans do it it's bad lwhen liberals do it... this should be non partisan!,not-offensive
3700,@user Who the fuck are you?,offensive
3701,@user @user @user @user @user Really? It's okay to call for lynchings as long as you are a stand-up comic? Hmm.,not-offensive
3702,@user Consider the source. It's only Bono.,not-offensive
3703,6 more white boys standing up for you every day Ms. .@USER  I think the poster adds speshul emphasis. Don’t you?  #MAGA #WWG1WGA,offensive
3704,@user @user And he’s actually been a gun control advocate for a long time if you bothered to do a little research.,not-offensive
3705,@user A Democrat tried to stab a Republican congressman-a Democrat shot congressman Scalise and tried to kill everybody around him-Democrats are beating up Republicans and denying them the right to speak-we know who the Democrats are and they are not Americans,offensive
3706,Just a reminder to mark your calendar to vote in November if you want #POTUS45 to have any chance of #MAGA #Trump2020,not-offensive
3707,@user @user California is a state. In the USA. How stupid do you have to be to think there is gun control?,not-offensive
3708,Anything will Help.  Thank you #Patriots #Maga and if you dont hear from me thanking any who help and share its bc im about to loose signal out here in the rain and batt will die so I gotta get to a place to plug in. Thanks again folks and God Bless,offensive
3709,@user Dr. James P. Wickstrom RIP - Gun Control and The Enemy In The Land,not-offensive
3710,@user Perhaps our politicians should stop using them as reason to ban/confiscate popular firearms. The gun control crowd is making them a target and it is wrong.,not-offensive
3711,I wonder if these are the false flags we were expecting......    #GreatAwakening #QAnon #followthewhiterabbit #MAGA  @user  @user,not-offensive
3712,@user Gun control is  omportant. It should not be left to NRA to regulate it. It does not care about the lifes that are waisted along the path of its enrichment.,not-offensive
3713,#Democrats ask yourself is your party fighting for you or to keep their leader's power? The party leaders only care about you as a vote not as a person. #Conservatives elect people to represent us  and if they don't we elect someone else. #walkaway. @user take note.,not-offensive
3714,@user hallo how are you today i think you are good actor,not-offensive
3715,@user You'll have to tell me your secrets over dinner sometime,not-offensive
3716,@user @user I recognize the one as #antifa based on the board he becomes 🤣,not-offensive
3717,@user She is so alert! Babies aren't always so aware.,not-offensive
3718,@user God I hope not,not-offensive
3719,@user Liberals have the numbers and money. Conservatives would get smoked. Kansas alone gets beat inside of 2 hours.,offensive
3720,.@USER just made an S.O.31 statement about this story asking if the Liberals were just handing out money to Cdns who agree with them,not-offensive
3721,@user And now Tyler is going out of his way to assure Haleigh she is staying this week 🤣 where is this “immaculate” game play you claim? Pathetic jury management more like.,not-offensive
3722,@user @user @user @user time for MAGA to flip it! 🤗,offensive
3723,@user Again she is the GOAT at HER SPORT but of all athletes ever? Absolutely not,offensive
3724,@user I have to be a smart ass some way 🤷🏻‍♂️😂,offensive
3725,@user when gun control doesn't work will you support common sense knife control?,not-offensive
3726,@user Ren oppa!! I love you  you are cute 😊,not-offensive
3727,@user @user Why does every gathering of liberals look like something I wish I had not seen?,not-offensive
3728,@user Nanos Poll .........Liberals 41.1 Conservatives 31.4 These numbers should be reversed after all the Trudeau boondoggles. You are destiny is continued opposition.,not-offensive
3729,@user @user @user Buckwheat in the 1930's. Pretty sure he and Eddie aren't promoting white supremeists. #MAGA,not-offensive
3730,#Yemen tries gun control #theeconomist,not-offensive
3731,@user Getting out of the Paris Climate Agreement is what 64m voters wanted! Obama committed us to $100B towards that agreement! We keep paying for the third world countries and we are going broke! It does not help when places like Cal. have 3m illegals either!,not-offensive
3732,@user @user @user @user @user @user 3m EU cits living &amp; paying tax in UK who vote in General/local elections. C.1m UK cits in EU +15 yrs who were promised vote in Conservatives 2015 manifesto. Vote Leave broke electoral spending law &amp; police now involved. Russian £ paid to Aaron Banks &amp; interference in campaign.,not-offensive
3733,@user Thank you Mr President Trump. ✌🏻🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸#MAGA,not-offensive
3734,@user @user Awww 😥😥😥 CUPCAKES SUCK IT UP. SHE LOST😡😡😡😡 GET OVER IT 😡😡😡,offensive
3735,@user @user @user That's the point you waffle faced nob goblin,not-offensive
3736,@user @user I'll go to the original argument that people shouldn't blanket everyone together.   Terrorists = all Muslims  Alt-Right = all conservatives  Both of these are equally dumb. Requiring specific groups to denounce their fringes means that the general populace can't differentiate.,offensive
3737,@user @user @user @user @user Describing Myself in 3 fictional characters:  1) O-Ren Ishii  2) Princess Aura 3) Laura Palmer   Tagging 5 friends: @user @user @user @user @user,not-offensive
3738,@user nah you bob.,not-offensive
3739,@user @user @user You claim you read the academic piece I linked to. It spells that out pretty clear.  Do you wonder why this genre of race writing is so popular with upper/upper-middle class white liberals?,not-offensive
3740,@user This is one of the soros contacts for antifa activists,not-offensive
3741,@user We are still here. And you are still singing with your amazing voice. So grateful for folks who stand up and carry on.💕,not-offensive
3742,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Gun control and money control are the fantasy with today's technology. You're part of the old guard.,not-offensive
3743,@user @user @user @user  UK Polititians are a special breed of FILTH!  They get together and vote that their Expense and Sex Crimes (paedophilia) remain secret and then declare child abuse documents remain secret due to  National Security  Nothing to do with National Security,offensive
3744,@user @user All of us are scratching our heads over this. He is trying to intimidate. Don't let him.,not-offensive
3745,"@user @user @user You are full of shit Sweetie""""""""",offensive
3746,@user Congratulations Joe you deserve to a nice treat after all the hard work you are doing each and every day keeping us Sareptians informed.  I know us CA boys appreciate you.,not-offensive
3747,@user Have you ever seen the former Democratic hierarchy fight against the president so much??? We know it’s because you’ve been so corrupt and guilty of abuse of power. It’s our darkest times with the DOJ/CIA and Presidential cabinet,offensive
3748,@user @user Gosh Alejandro you cheating on us.,not-offensive
3749,@user The people complaining about this are almost certainly the ones who think getting in people’s faces (antifa etc) will result in the victim accepting it and thanking them for their advice.,not-offensive
3750,@user @user No that is Antifa,not-offensive
3751,@user Someone  needs to give this woman a puppy.  She is not enjoying life.,not-offensive
3752,@user Stop trying  to make Brandon what he is not and run him. Put in some trip option and sprint option stuff. RUN HIM!! Do some play action out of the option formations. Bring in Book for at least four series.,not-offensive
3753,@user @user @user She is more influential so many Japanese and British acts are influenced by her? Why do so many foreign acts work with her producers? Why does she have touring records in Europe and Japan?  Why did she win the Legend Award at the WMAs,not-offensive
3754,@user been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother,not-offensive
3755,@user Keep Your Pelosi Money !!!!!!! #RedNationRising  #MAGA  #WalkAway,not-offensive
3756,"@user @user @user @user @user @user @user 😂😂😂😂 whatever. It was more than enough for 'Antifa &amp; the rest to stay home! Peaceful. Dignified. On Point. Last time the left did that???????? I'll wait""""",not-offensive
3757,@user Thats is not what i was saying.. read my other tweet to you.  I never said that.. you sir are putting words in my mouth!  liberals really are just assholes.. cant have a civil discussion!,offensive
3758,@user TICK TOCK SWAMP !! YOUR GOING TO JAIL VERY SOON !! #MAGA,offensive
3759,@user Conservatives aren’t violent - liberals are.,not-offensive
